판정,레거시 스타일,node_id,HEX,정본 대상,정본 HEX,색차(ΔE),비고
ABSORB,"Badge Color/newzone","43984:4663","#FD9F4D","Badge/New Zone","#FD9F4D",0,""
ABSORB,"Badge Color/timedeal","41321:27534","#FF8159","Badge/Time Deal","#FF8159",0,""
ABSORB,"Badge Color/timedeal","42560:39565","#FF8159","Badge/Time Deal","#FF8159",0,""
ABSORB,"Badge Color/timedeal","42814:16147","#FF8159","Badge/Time Deal","#FF8159",0,""
ABSORB,"Badge Color/timedeal","43984:4710","#FF8159","Badge/Time Deal","#FF8159",0,""
ABSORB,"Badge/Bookmark","1617:11724","#FED500","Badge/Bookmark","#FED500",0,""
ABSORB,"Badge/Clean","23379:80394","#59BBF2","Badge/Clean","#59BBF2",0,""
ABSORB,"Badge/Economy","10007:144941","#C0C259","Badge/Economy","#C0C259",0,""
ABSORB,"Badge/Eleccar","9618:113808","#A87DF9","Badge/Eleccar","#A87DF9",0,""
ABSORB,"Badge/Event","2898:19807","#F8679C","Badge/Event","#F8679C",0,""
ABSORB,"Badge/Hot Deal","2601:20805","#FD8484","Badge/Hot Deal","#FD8484",0,""
ABSORB,"Badge/New Car","9618:113807","#5B68FE","Badge/New Car","#5B68FE",0,""
ABSORB,"Badge/New Zone","3049:20386","#FD9F4D","Badge/New Zone","#FD9F4D",0,""
ABSORB,"Badge/Time Deal","8129:87549","#FF8159","Badge/Time Deal","#FF8159",0,""
ABSORB,"bg/default","43590:49582","#FFFFFF","Gray Scale/Gray 000","#FFFFFF",0,""
ABSORB,"bg/layer/default","43590:49585","#FFFFFF","Gray Scale/Gray 000","#FFFFFF",0,""
ABSORB,"black","22427:70119","#000000","Gray Scale/Gray 100","#000000",0,""
ABSORB,"Black","1772:12030","#000000","Gray Scale/Gray 100","#000000",0,""
ABSORB,"Brand Color/Daily Green","28406:194275","#00C88C","System/Success","#00C88C",0,""
ABSORB,"Brand Color/G car Gray","40613:37705","#3E3A39","Brand/G car Gray","#3E3A39",0,""
ABSORB,"Brand Color/G car Gray","40917:27412","#3E3A39","Brand/G car Gray","#3E3A39",0,""
ABSORB,"Brand Color/G car Gray","42410:54418","#3E3A39","Brand/G car Gray","#3E3A39",0,""
ABSORB,"Brand Color/G car Red","40613:37704","#ED1C24","Primary/Red 050","#ED1C24",0,""
ABSORB,"Brand Color/G car Red","40917:27411","#ED1C24","Primary/Red 050","#ED1C24",0,""
